#  Z   A El rea        E1       DE1        E2       DE2     E1def    DE1def     E2def    DE2def
  39  89 Y  4     17.5200    0.0100    0.0000    0.0000   16.2741    0.0000   16.7705    0.0000
  39  89 Y  4     16.7800    0.0100    0.0000    0.0000   16.2741    0.0000   16.7705    0.0000
  39  89 Y  12    16.8300    0.0300    0.0000    0.0000   16.2741    0.0000   16.7705    0.0000
  40  90 Zr 3a    16.8200    0.0500    0.0000    0.0000   16.2610    0.0000   16.7571    0.0000
  40  90 Zr 3b    16.7900    0.1500    0.0000    0.0000   16.2610    0.0000   16.7571    0.0000
  40  90 Zr 4     16.8400    0.0200    0.0000    0.0000   16.2610    0.0000   16.7571    0.0000
  40  90 Zr 4     16.8400    0.0100    0.0000    0.0000   16.2610    0.0000   16.7571    0.0000
  40  90 Zr 8     16.7300    0.0100    0.0000    0.0000   16.2610    0.0000   16.7571    0.0000
  40  91 Zr 4     16.5800    0.0200    0.0000    0.0000   16.2056    0.0000   16.7000    0.0000
  40  91 Zr 5     16.5800    0.0800    0.0000    0.0000   16.0444    0.0000   16.7898    0.0000
  40  92 Zr 4     16.2600    0.0200    0.0000    0.0000   15.9889    0.0000   16.7318    0.0000
  40  94 Zr 4     16.2100    0.0200    0.0000    0.0000   15.8767    0.0000   16.6143    0.0000
  40  94 Zr 5     16.3500    0.1000    0.0000    0.0000   15.7897    0.0000   16.6645    0.0000
  41  93 Nb 8     16.5800    0.0100    0.0000    0.0000   15.8905    0.0000   16.7709    0.0000
  42  92 Mo 3a    17.1600    0.0600    0.0000    0.0000   16.0656    0.0000   16.8121    0.0000
  42  92 Mo 3b    17.1000    0.1400    0.0000    0.0000   16.2271    0.0000   16.7222    0.0000
  42  92 Mo 4     16.8200    0.0100    0.0000    0.0000   16.2271    0.0000   16.7222    0.0000
  42  92 Mo 4a    16.5500    0.0400    0.0000    0.0000   16.2271    0.0000   16.7222    0.0000
  42  92 Mo 4b    16.5100    0.0400    0.0000    0.0000   16.2271    0.0000   16.7222    0.0000
  42  94 Mo 4     16.5300    0.0200    0.0000    0.0000   16.1251    0.0000   16.6170    0.0000
  42  96 Mo 4     16.1100    0.0400    0.0000    0.0000   15.8611    0.0000   16.5980    0.0000
  42  98 Mo 4     15.7900    0.0300    0.0000    0.0000   15.5167    0.0000   16.6285    0.0000
  42  98 Mo 4a    15.5400    0.0500    0.0000    0.0000   14.7103    0.0000   17.1871    0.0000
  42  98 Mo 4b    15.5300    0.0900    0.0000    0.0000   14.7103    0.0000   17.1871    0.0000
  42 100 Mo 9     15.7200    0.0300    0.0000    0.0000   14.6104    0.0000   17.0704    0.0000
  45 103 Rh 3a    16.2400    0.0700    0.0000    0.0000   14.1416    0.0000   17.4355    0.0000
  45 103 Rh 3b    16.2300    0.1700    0.0000    0.0000   14.6154    0.0000   17.0337    0.0000
  45 103 Rh 4     16.1400    0.0300    0.0000    0.0000   14.6154    0.0000   17.0337    0.0000
  45 103 Rh 4     16.5500    0.1800    0.0000    0.0000   14.6154    0.0000   17.0337    0.0000
  46 108 Pd 0     14.9700    0.4300   18.1300    0.3600   14.4289    0.0000   16.8163    0.0000
  46   0 Pd 4     15.8900    0.0300    0.0000    0.0000   14.4676    0.0000   16.9598    0.0000
  47 107 Ag 4     15.8300    0.0400    0.0000    0.0000   14.5971    0.0000   16.8432    0.0000
  47 107 Ag 4     15.8900    0.0400    0.0000    0.0000   14.6636    0.0000   16.7933    0.0000
  47 107 Ag 4a    15.6800    0.0600    0.0000    0.0000   14.6636    0.0000   16.7933    0.0000
  47 107 Ag 4b    15.6000    0.0900    0.0000    0.0000   14.6636    0.0000   16.7933    0.0000
  47 109 Ag 4     13.5400    0.1900   16.6200    0.1800   14.5766    0.0000   16.6937    0.0000
  47   0 Ag 4     16.0600    0.0200    0.0000    0.0000   14.6710    0.0000   16.7878    0.0000
  48   0 Cd 4     15.7700    0.0100    0.0000    0.0000   14.3978    0.0000   16.4889    0.0000
  49 115 In 4     15.7200    0.0100    0.0000    0.0000   14.4163    0.0000   16.4689    0.0000
  49 115 In 4     15.6300    0.0100    0.0000    0.0000   15.0261    0.0000   16.0618    0.0000
  49 115 In 4     15.3900    0.1400    0.0000    0.0000   15.0261    0.0000   16.0618    0.0000
  49 115 In 5     15.5300    0.0600    0.0000    0.0000   15.0261    0.0000   16.0618    0.0000
  50 112 Sn 4     15.6200    0.0500    0.0000    0.0000   15.1884    0.0000   16.2353    0.0000
  50 112 Sn 5     15.6300    0.0500    0.0000    0.0000   15.7018    0.0000   15.9468    0.0000
  50 114 Sn 4     15.8200    0.0400    0.0000    0.0000   15.6158    0.0000   15.8595    0.0000
  50 114 Sn 5     15.7700    0.0400    0.0000    0.0000   15.7772    0.0000    0.0000    0.0000
  50 116 Sn 4     15.5500    0.0100    0.0000    0.0000   15.6889    0.0000    0.0000    0.0000
  50 116 Sn 4     15.6700    0.0200    0.0000    0.0000   15.6889    0.0000    0.0000    0.0000
  50 116 Sn 4a    15.7300    0.0300    0.0000    0.0000   15.6889    0.0000    0.0000    0.0000
